DATE,USD/EURO,OIL,DOW JONES,J&J,AMOZON,APPLE,BERKSHIRE,GOOGLE,Volume,Close
6/10/14,0.7381,104.35,16945.91992,104.099998,332.410004,94.25,128.25,568.299988,2702360000,1950.790039
6/11/14,0.7389,104.4,16843.88086,103.32,335.200012,93.860001,128.220001,567.5,2710620000,1943.890015
6/12/14,0.7379,106.53,16734.18945,102.529999,325.910004,92.290001,127.279999,559.5,3040480000,1930.109985
6/13/14,0.7384,106.91,16775.74023,102.529999,326.269989,91.279999,126.540001,560.349976,2598230000,1936.160034
6/16/14,0.7367,106.9,16781.00977,102.449997,327.619995,92.199997,126.150002,552.299988,2926130000,1937.780029
6/17/14,0.7382,106.36,16808.49023,101.93,325.619995,92.080002,126.029999,550.619995,2971260000,1941.98999
6/18/14,0.7356,105.97,16906.61914,102.809998,334.380005,92.18,127.169998,560.659973,3065220000,1956.97998
6/19/14,0.7349,106.43,16921.46094,103.809998,327,91.860001,127.25,564.98999,2952150000,1959.47998
6/20/14,0.7353,107.26,16947.08008,105.269997,324.200012,90.910004,126.739998,566.52002,4336240000,1962.869995
6/23/14,0.735,106.17,16937.25977,104.75,327.23999,90.830002,126.669998,574.289978,2717630000,1962.609985
6/24/14,0.735,106.03,16818.13086,104.589996,324.160004,90.279999,126.779999,572.539978,3089700000,1949.97998
6/25/14,0.7337,106.5,16867.50977,105.760002,327.440002,90.360001,127.129997,585.929993,3106710000,1959.530029
6/26/14,0.7347,105.84,16846.13086,105.650002,325.690002,90.900002,127.099998,584.77002,2778840000,1957.219971
6/27/14,0.7327,105.74,16851.83984,104.989998,324.570007,91.980003,127.32,585.690002,4290590000,1960.959961
6/30/14,0.7304,105.37,16826.59961,104.620003,324.779999,92.93,126.559998,584.669983,3037350000,1960.22998
7/1/14,0.731,105.34,16956.07031,105.870003,332.390015,93.519997,127.239998,591.48999,3188240000,1973.319946
7/2/14,0.732,104.48,16976.24023,105.860001,332.850006,93.480003,127.730003,590.780029,2851480000,1974.619995
7/3/14,0.7347,104.06,17068.25977,105.419998,337.48999,94.029999,129.300003,593.080017,1998090000,1985.439941
7/7/14,0.735,103.53,17024.21094,106.470001,333.549988,95.970001,128.699997,590.76001,2681260000,1977.650024
7/8/14,0.7346,103.4,16906.61914,105.720001,323.809998,95.349998,128.220001,578.400024,3302430000,1963.709961
7/9/14,0.7329,102.29,16985.60938,106.040001,329.970001,95.389999,128.75,583.359985,2858800000,1972.829956
7/10/14,0.7348,102.93,16915.07031,105.800003,327.920013,95.040001,128.449997,580.039978,3165690000,1964.680054
7/11/14,0.7349,100.83,16943.81055,105.099998,346.200012,95.220001,128.630005,586.650024,2684630000,1967.569946
7/14/14,0.7342,100.91,17055.41992,105.379997,355.320007,96.449997,128.979996,594.26001,2744920000,1977.099976
7/15/14,0.7369,99.96,17060.67969,103.279999,354.440002,95.32,128.490005,593.059998,3328740000,1973.280029
7/16/14,0.7393,101.2,17138.19922,102.220001,355.899994,94.779999,128.110001,590.619995,3390950000,1981.569946
7/17/14,0.7392,103.19,16976.81055,100.370003,352.450012,93.089996,126.519997,580.820007,3381680000,1958.119995
7/18/14,0.7394,103.13,17100.17969,101.800003,358.660004,94.43,128.279999,605.109985,3106060000,1978.219971
7/21/14,0.7394,104.59,17051.73047,101.269997,359.76001,93.940002,128.580002,598.440002,2611160000,1973.630005
7/22/14,0.7427,104.42,17113.53906,102.470001,360.839996,94.720001,128.419998,603.570007,2890480000,1983.530029
7/23/14,0.7427,103.12,17086.63086,102.190002,358.140015,97.190002,128.130005,605.190002,2869720000,1987.01001
7/24/14,0.7428,102.07,17083.80078,102.199997,358.609985,97.029999,128.350006,603.01001,3203530000,1987.97998
7/25/14,0.7446,102.09,16960.57031,102.110001,324.01001,97.669998,127.550003,598.080017,2638960000,1978.339966
7/28/14,0.744,101.67,16982.58984,102.110001,320.410004,99.019997,128.369995,599.02002,2803320000,1978.910034
7/29/14,0.7458,100.97,16912.10938,101.959999,320,98.379997,127.360001,593.950012,3183300000,1969.949951
7/30/14,0.7465,100.27,16880.35938,102.300003,322.51001,98.150002,127.739998,595.440002,3448250000,1970.069946
7/31/14,0.7469,98.17,16563.30078,100.089996,312.98999,95.599998,125.43,579.549988,4193000000,1930.670044
8/1/14,0.7446,97.88,16493.36914,99.900002,307.059998,96.129997,125.830002,573.599976,3789660000,1925.150024
8/4/14,0.745,98.29,16569.2793,100.160004,313.649994,95.589996,129.720001,582.27002,3072920000,1938.98999
8/5/14,0.7477,97.38,16429.4707,99.82,312.320007,95.120003,127.989998,573.140015,3462520000,1920.209961
8/6/14,0.7472,96.92,16443.33984,100.709999,313.890015,94.959999,129.110001,574.48999,3539150000,1920.23999
8/7/14,0.7483,97.34,16368.26953,99.93,311.450012,94.480003,128.949997,571.809998,3230520000,1909.569946
8/8/14,0.7457,97.65,16553.92969,101.080002,316.799988,94.739998,130.899994,577.940002,2902280000,1931.589966
8/11/14,0.747,98.08,16569.98047,101.160004,318.329987,95.989998,131.949997,577.25,2784890000,1936.920044
8/12/14,0.748,97.37,16560.53906,100.629997,319.320007,95.970001,133.059998,572.119995,2611700000,1933.75
8/13/14,0.7482,97.59,16651.80078,101.739998,326.279999,97.239998,133.080002,584.559998,2718020000,1946.719971
8/14/14,0.7482,95.58,16713.58008,102.019997,333.209991,97.5,135.300003,584.650024,2609460000,1955.180054
8/15/14,0.7463,97.35,16662.91016,101.169998,333.630005,97.980003,134.339996,583.710022,3023380000,1955.060059
8/18/14,0.7483,96.41,16838.74023,102.699997,334.529999,99.160004,135.029999,592.700012,2638160000,1971.73999
8/19/14,0.7508,94.48,16919.58984,102.959999,335.130005,100.529999,134.899994,597.109985,2656430000,1981.599976
8/20/14,0.7541,96.07,16979.13086,103.209999,335.779999,100.57,134.910004,595.409973,2579560000,1986.51001
